3,Legion,449,smb://GLASSES/Movies/Legion (2010)/VIDEO_TS/
12,10 Cloverfield Lane,458,smb://GLASSES/Movies/10 Cloverfield Lane (2016)/
33,A Nightmare on Elm Street,478,smb://GLASSES/Movies/A Nightmare on Elm Street (1984) [1080p]/
34,A Quiet Place,479,smb://GLASSES/Movies/A Quiet Place (2018)/
46,Alien³,491,smb://GLASSES/Movies/Alien Quadrilogy/
47,Alien Resurrection,491,smb://GLASSES/Movies/Alien Quadrilogy/
48,Alien,491,smb://GLASSES/Movies/Alien Quadrilogy/
50,Aliens vs Predator: Requiem,492,smb://GLASSES/Movies/Alien Vs Predator-Requiem (2007)/
127,Beyond the Black Rainbow,567,smb://GLASSES/Movies/Beyond the Black Rainbow/
140,Black Swan,578,smb://GLASSES/Movies/Black Swan (2010)/
141,Black Christmas,579,smb://GLASSES/Movies/Black.Christmas.1974.REMASTERED.1080p.BluRay.H264.AAC-RARBG/
148,Blair Witch,586,smb://GLASSES/Movies/Blair.Witch.2016.BRRip.XViD-ETRG/
156,Book of Shadows: Blair Witch 2,594,smb://GLASSES/Movies/Book.of.Shadows.Blair.Witch.2.2000.1080p.WEBRip.DD5.1.x264-FGT/
167,Brightburn,605,smb://GLASSES/Movies/Brightburn.2019.1080p.AMZN.WEBRip.DDP5.1.x264-NTG/
169,Brotherhood of the Wolf,607,smb://GLASSES/Movies/Brotherhood of the Wolf (2001)/
173,Candyman,611,smb://GLASSES/Movies/Candyman.1992.1080p.BluRay.x264.anoXmous/
174,Cannibal Holocaust,612,smb://GLASSES/Movies/Cannibal Holocaust/
187,Cemetery Man,624,smb://GLASSES/Movies/Cemetery Man/
199,Clown,635,smb://GLASSES/Movies/Clown 2014 720p BluRay x264 AAC - Ozlem/
213,Constantine,648,smb://GLASSES/Movies/Constantine (2005)/
225,Cthulhu,660,smb://GLASSES/Movies/Cthulhu [2007] Dan Gildark/
227,Dagon,662,smb://GLASSES/Movies/Dagon/
229,Dante's Inferno: An Animated Epic,664,smb://GLASSES/Movies/Dantes Inferno - An Animated Epic/
235,Dawn of the Dead,670,smb://GLASSES/Movies/Dawn Of The Dead (1978)/
236,Dawn of the Dead,671,smb://GLASSES/Movies/Dawn Of The Dead (2004)/
240,Dead Silence,675,smb://GLASSES/Movies/Dead Silence (2007)/
241,Dead Space: Downfall,676,smb://GLASSES/Movies/Dead Space Downfall/
245,Deliver Us from Evil,680,smb://GLASSES/Movies/Deliver Us From Evil(2014)/
248,Devil,683,smb://GLASSES/Movies/Devil (2010) [1080p]/
257,Dead Snow,692,smb://GLASSES/Movies/Dod sno/
260,Don't Breathe,695,smb://GLASSES/Movies/Don't.Breathe.2016.HDRip.XViD.AC3-ETRG/
263,Doom,698,smb://GLASSES/Movies/Doom (2005)/
264,Doom: Annihilation,699,smb://GLASSES/Movies/Doom.Annihilation.2019.1080p.BluRay.H264.AAC-RARBG/
268,Dracula: Dead and Loving It,703,smb://GLASSES/Movies/Dracula - Dead And Loving It (1995)/
269,Dracula,704,smb://GLASSES/Movies/Dracula (1992)/
270,Drag Me to Hell,705,smb://GLASSES/Movies/Drag Me To Hell (2009)/
292,Dreamcatcher,712,smb://GLASSES/Movies/Dreamcatcher/
309,End of Days,729,smb://GLASSES/Movies/End of Days 1999 720p BluRay x264 AAC - Ozlem/
323,Evil Dead,743,smb://GLASSES/Movies/Evil Dead (2013)/
329,The Exorcist III,749,smb://GLASSES/Movies/Exorcist III/
333,Faces of Death,752,smb://GLASSES/Movies/Faces of Death 1978 30th Anniversary Edition 720p BRRip X264-ExtraTorrentRG/
348,"Fear, Inc.",767,"smb://GLASSES/Movies/Fear, Inc.2016.HDRip.XViD-ETRG/"
366,Friday the 13th,785,smb://GLASSES/Movies/Friday the 13th films/
